Time,Truth,Prediction
Januari,1511875.0,1496926.5
Februari,1478751.0,1502311.5
Maret,1414636.0,1397664.875
April,1500595.0,1498256.125
Mei,1517075.0,1520860.0
Juni,1661422.0,1628546.625
Juli,1353485.0,1330397.375
Agustus,1561909.0,1601094.125
September,1520599.0,1502845.0
Oktober,1523977.36363636,1522157.5
November,1677296.0,1666955.375
Desember,1566108.0,1541841.25
