Time,Truth,Prediction
Januari,1511875.0,1493892.125
Februari,1478751.0,1499377.375
Maret,1414636.0,1400917.375
April,1500595.0,1495535.25
Mei,1517075.0,1517777.875
Juni,1661422.0,1630340.5
Juli,1353485.0,1339063.5
Agustus,1561909.0,1599175.75
September,1520599.0,1499503.0
Oktober,1523977.36363636,1518766.375
November,1677296.0,1674222.875
Desember,1566108.0,1538461.125
