Time,Result
Januari,1493577.25
Februari,1492754.0
Maret,1398662.375
April,1495020.5
Mei,1522656.5
Juni,1644394.5
Juli,1334347.125
Agustus,1594810.5
September,1499770.75
Oktober,1519280.5
November,1677276.625
Desember,1542167.125
