Time,Result
Januari,1496597.75
Februari,1494290.75
Maret,1394912.0
April,1497630.0
Mei,1526731.75
Juni,1643071.375
Juli,1324651.5
Agustus,1596523.0
September,1503258.375
Oktober,1522677.0
November,1670186.5
Desember,1545807.125
