Time,Result
Januari,1492251.0
Februari,1492660.0
Maret,1400463.375
April,1493929.625
Mei,1520502.125
Juni,1643685.25
Juli,1338875.375
Agustus,1594325.375
September,1498138.0
Oktober,1517710.125
November,1680411.125
Desember,1540128.5
