Time,Truth,Prediction
Januari,1511875.0,1492528.125
Februari,1478751.0,1497972.0
Maret,1414636.0,1402319.375
April,1500595.0,1494341.625
Mei,1517075.0,1516551.875
Juni,1661422.0,1631473.0
Juli,1353485.0,1342743.5
Agustus,1561909.0,1598043.25
September,1520599.0,1497966.25
Oktober,1523977.36363636,1517251.25
November,1677296.0,1677777.0
Desember,1566108.0,1536982.25
